run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
104,A,5,120,50000.0,,0.5,0.4,0.1,1.5044984278669253,0.21051672635540397,-0.09759310792405163,1.4824683127631704,45.852275626372844,390,ok,,3.660916
105,A,5,120,50000.0,,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,3.528552
106,A,5,120,50000.0,,0.7,0.2,0.1,1.8559142044712402,0.24404801437830637,-0.12096779777179834,1.4693946710613761,54.294844561307244,419,ok,,3.755769
107,A,5,120,50000.0,,0.5,0.3,0.2,1.3734513654003684,0.1970542347047981,-0.11461927202381816,1.3784104004446103,43.83648131925357,387,ok,,4.112354
108,A,5,120,50000.0,,0.6,0.2,0.2,1.7185558771513416,0.23135287550916428,-0.11554059075314838,1.4797536276039087,48.83368802454444,397,ok,,3.765699
109,A,5,180,0.0,,0.5,0.5,0.0,1.2254106331152372,0.18111842243492116,-0.18989076969304064,1.0329742266939566,36.30903150034993,370,ok,,116.582246
110,A,5,180,0.0,,0.6,0.4,0.0,1.0459024626107771,0.1606273937020204,-0.18067492473061564,0.9620596562355404,47.065318267804734,391,ok,,5.216881
111,A,5,180,0.0,,0.7,0.3,0.0,1.0982171799251645,0.16674153258292357,-0.1992563119964249,0.9381566308316719,49.674250538815826,405,ok,,4.137735
112,A,5,180,0.0,,0.8,0.2,0.0,0.9204192815922814,0.14544064613330154,-0.21072608877123156,0.7905163842012495,49.46715199291683,404,ok,,4.124361
113,A,5,180,0.0,,0.5,0.4,0.1,1.4115023484930176,0.20102264345387955,-0.10828163296424054,1.4751023521926436,39.02295720970527,373,ok,,3.646965
114,A,5,180,0.0,,0.6,0.3,0.1,1.7101900742501197,0.23056340099256323,-0.12746694974996242,1.5701577518052343,46.18593895916385,391,ok,,3.937691
115,A,5,180,0.0,,0.7,0.2,0.1,1.388748759114515,0.19865564218383347,-0.16402542315134183,1.24933465127743,47.31264684190077,401,ok,,3.905665
116,A,5,180,0.0,,0.5,0.3,0.2,1.3806120626053668,0.19780486660512642,-0.10424933886231635,1.4204183194350652,43.558440481188136,379,ok,,3.882727
117,A,5,180,0.0,,0.6,0.2,0.2,1.3573717205802303,0.19536210168228973,-0.12965975108397632,1.2855835466905974,44.44217466602771,390,ok,,4.089843
118,A,5,180,10000.0,,0.5,0.5,0.0,0.8148756601728506,0.13204604000901998,-0.10072339925212126,1.0427527043563174,35.86184516619799,366,ok,,117.622535
119,A,5,180,10000.0,,0.6,0.4,0.0,0.764603807595871,0.12544799394441153,-0.12479347135701069,0.9753822353547213,47.63045285819672,395,ok,,4.874124
120,A,5,180,10000.0,,0.7,0.3,0.0,0.7721267096317199,0.12644474834584862,-0.14138552522914816,0.8817968980127923,51.33232570563462,408,ok,,4.001908
